id,description,host,command,args,expectedOut,expectedErr,expectedExit,timeout
CIP-4217_Func_7,Update Test Status ERICdmt_CXP9030301 --ver=1.3.2 --phase=kgb,ciportal,manage.py,update_test_status --package=ERICdmt_CXP9030301 --ver=1.3.2 --phase=kgb --state=in_progress,Updating test statusERICdmt_CXP9030301,,0,5
CIP-4217_Func_8,Test Status Options,ciportal,manage.py,update_test_status,Option required,,1,5
CIP-4217_Func_9,Disk Usage Monitor,ciportal,manage.py,diskUsageMonitor --filesystem=/proj/ --alerts=No,Successfully returned the Monitor Disk Usage for,,0,5
CIP-4217_Func_10,File Or Dir Usage Monitor,ciportal,manage.py,fileOrDirUsageMonitor --filesystem=/proj/lciadm100/cifwk/latest/django_proj/settings.py --monitorType=File,Successfully returned the Monitor Storage Usage for,,0,5
CIP-4217_Func_11,File Or Dir Usage Monitor,ciportal,manage.py,fileOrDirUsageMonitor --filesystem=/proj/lciadm100/cifwk/latest/django_proj --monitorType=Directory,Successfully returned the Monitor Storage Usage for,,0,5
CIP-4217_Func_12,File Or Dir Usage Monitor,ciportal,manage.py,fileOrDirUsageMonitor --filesystem=/proj/lciadm100/cifwk/latest/django_proj/test.txt,Please Select Monitor Type,,1,5
CIP-4681_Func_1,Create Mapping,ciportal,manage.py,create_testwaremapping --testware ERICTAFalarmsupervision_CXP9030693 --package ERICaicore_CXP9030518,Mapping Created,,0,5
CIP-4681_Func_2,Already  Exists in Database,ciportal,manage.py,create_testwaremapping --testware ERICTAFalarmsupervision_CXP9030693 --package ERICaicore_CXP9030518,CommandError: Mapping Already Exists in Database,,1,5
CIP-4681_Func_3,Get Testware Mapping,ciportal,manage.py,get_testwaremapping --testware ERICTAFalarmsupervision_CXP9030693 --package ERICaicore_CXP9030518,There is Mapping between Package: ERICaicore_CXP9030518 and Testware: ERICTAFalarmsupervision_CXP9030693,,0,5
CIP-4681_Func_4,Delete Testware Mapping,ciportal,manage.py,delete_testwaremapping --testware ERICTAFalarmsupervision_CXP9030693 --package ERICaicore_CXP9030518,Mapping Deleted,,0,5
CIP-4681_Func_5,Delete Testware Mapping - Does not Exist,ciportal,manage.py,delete_testwaremapping --testware ERICTAFalarmsupervision_CXP9030693 --package ERICaicore_CXP9030518,CommandError: Mapping Does Not Exist in Database.,,1,5
CIP-4681_Func_6,Get Testware Mapping - Does not Exist,ciportal,manage.py,get_testwaremapping --testware ERICTAFalarmsupervision_CXP9030693 --package ERICaicore_CXP9030518,CommandError: Does Not Exists in Database - TestwarePackageMapping matching query does not exist.,,1,5
CIP-4556_Func_1,Test Stacked Dependency Function to return no Dependencies found,ciportal,manage.py,stackDependencyGeneration --artifactName=ERICpmservice_CXP9030101 --artifactVersion=2.16.3,There was no Artifact dependencies found based on the input data,,1,5
CIP-4556_Func_2,Test Stacked Dependency Management Function for Known Artifact with unknown Version Response,ciportal,manage.py,stackDependencyGeneration --artifactName=ERICpmservice_CXP9030101 --artifactVersion=2.16.4,Artifact Name with given Version does not exist,,1,5
CIP-4556_Func_3,Test Stacked Dependency Management Function for unknown Version Response,ciportal,manage.py,stackDependencyGeneration --artifactName=ERICpmservicem_CXP90301012 --artifactVersion=3.16.4,Artifact Name does not exist in the cifwk database,,1,5
CIP-4556_Func_4,Test Stacked Dependency Management Function for incomplete parameter Artifact Version not supplied,ciportal,manage.py,stackDependencyGeneration --artifactName=ERICpmservicem_CXP90301012,Artifact Version is required,,1,5
CIP-4556_Func_5,Test Stacked Dependency Management Function for incomplete parameter Artifact Name not supplied,ciportal,manage.py,stackDependencyGeneration --artifactVersion=3.16.4,Artifact Name is required,,1,5
CIP-1718_Func_1a.1,Test Package One,ciportal,manage.py,cifwk_createpackage --name=ERICtestingautodeliverone_CXP10010001 --number=CXP10010001 --resp=signum,OK,,0,5
CIP-1718_Func_1a.2,Test Package Revision One,ciportal,manage.py,cifwk_createpackagerevision --name=ERICtestingautodeliverone_CXP10010001 --number=CXP10010001 --ver=1.0.1 --groupid=a.test.package --type=rpm --mediaCategory=sw --mediaPath=None --product=test --intendedDrop=1.0.3 --autoDeliver=True,OK,,0,5
CIP-1718_Func_1b.1,Test Package Two,ciportal,manage.py,cifwk_createpackage --name=ERICtestingautodelivertwo_CXP20010001 --number=CXP20010001 --resp=signum,OK,,0,5
CIP-1718_Func_1b.2,Test Package Revision Two,ciportal,manage.py,cifwk_createpackagerevision --name=ERICtestingautodelivertwo_CXP20010001 --number=CXP20010001 --ver=1.0.1 --groupid=a.test.package --type=rpm --mediaCategory=sw --mediaPath=None --product=test --intendedDrop=1.0.3 --autoDeliver=True,OK,,0,5
CIP-1718_Func_1c.1,Test Package Three,ciportal,manage.py,cifwk_createpackage --name=ERICtestingautodeliverthree_CXP30010001 --number=CXP30010001 --resp=signum,OK,,0,5
CIP-1718_Func_1c.2,Test Package Revision Three,ciportal,manage.py,cifwk_createpackagerevision --name=ERICtestingautodeliverthree_CXP30010001 --number=CXP30010001 --ver=1.0.1 --groupid=a.test.package --type=rpm --mediaCategory=sw --mediaPath=None --product=test --intendedDrop=1.0.3 --autoDeliver=True,OK,,0,5
CIP-1718_Func_1d.1,Test Package Four,ciportal,manage.py,cifwk_createpackage --name=ERICtestingautodeliverfour_CXP40010001 --number=CXP40010001 --resp=signum,OK,,0,5
CIP-1718_Func_1d.2,Test Package Revision Four,ciportal,manage.py,"cifwk_createpackagerevision --name=ERICtestingautodeliverfour_CXP40010001 --number=CXP40010001 --ver=1.0.1 --groupid=a.test.package --type=rpm --mediaCategory=sw --mediaPath=None --product=test --intendedDrop=1.0.3,1.0.4 --autoDeliver=True",OK,,0,5
CIP-1718_Func_1e.1,Test Package Five,ciportal,manage.py,cifwk_createpackage --name=ERICtestingautodeliverfive_CXP50010001 --number=CXP50010001 --resp=signum,OK,,0,5
CIP-1718_Func_1e.2,Test Package Revision Five,ciportal,manage.py,"cifwk_createpackagerevision --name=ERICtestingautodeliverfive_CXP50010001 --number=CXP50010001 --ver=1.0.1 --groupid=a.test.package --type=rpm --mediaCategory=sw --mediaPath=None --product=test --intendedDrop=1.0.3,1.0.4 --autoDeliver=True",OK,,0,5
CIP-1718_Func_1f.1,Test Package Six,ciportal,manage.py,cifwk_createpackage --name=ERICtestingautodeliversix_CXP60010001 --number=CXP60010001 --resp=signum,OK,,0,5
CIP-1718_Func_1f.2,Test Package Revision Six,ciportal,manage.py,cifwk_createpackagerevision --name=ERICtestingautodeliversix_CXP60010001 --number=CXP60010001 --ver=1.0.1 --groupid=a.test.package --type=rpm --mediaCategory=sw --mediaPath=None --product=TOR --intendedDrop=1.0.3 --autoDeliver=True,OK,,0,5
CIP-3456_Func_2.1,Package ERICtestimage_CXP0000008,ciportal,manage.py,cifwk_createpackage --name=ERICtestimage_CXP0000008 --number=CXP0000008 --resp=signum,OK,,0,5
CIP-3456_Func_2.2,Package Revision ERICtestimage_CXP0000008,ciportal,manage.py,cifwk_createpackagerevision --name=ERICtestimage_CXP0000008 --number=CXP0000008 --ver=1.0.1 --groupid=com.ericsson.cifwk --type=qcow2 --mediaCategory=image --mediaPath=None --product=test --intendedDrop=1.0.4 --autoDeliver=True,OK,,0,5
CIP-8215_Func_1.0,Create Label and Component,ciportal,manage.py,create_artifact_association_setup --label=CI --parent=CI-Line --child=CI-Axis --product=CI,OK,,0,5
CIP-7454 _Func_1.0,restart.http deamon,ciportal,restart.http,,OK,,0,5
