baseUrl,path,restParameters,type,httpResponse,expectedOut,expected
ciportal,/api/product/ENM/drop/15.11/deliveryqueue/queued/,"artifact=ERICmultinodehealthmonitorapp_CXP9031838,format=json",GET,OK,ERICmultinodehealthmonitorapp_CXP9031838,TRUE
ciportal,/api/product/ENM/drop/15.11/deliveryqueue/queued/,"artifact=ERICmultinodehealthmonitorapp_CXP9031838,format=json",GET,OK,ERIClitpsanapi_CXP9030787,FALSE
ciportal,/api/product/ENM/drop/15.11/deliveryqueue/queued/,"deliveryGroup=348,format=json",GET,OK,348,TRUE
ciportal,/api/product/ENM/drop/15.11/deliveryqueue/queued/,"deliveryGroup=348,format=json",GET,OK,348a,FALSE
ciportal,/api/product/ENM/drop/15.11/deliveryqueue/queued/,"version=1.6.1,format=json",GET,OK,1.6.1,TRUE
ciportal,/api/product/ENM/drop/15.11/deliveryqueue/queued/,"version=1.6.1,format=json",GET,OK,1.6.2,FALSE
ciportal,/api/product/ENM/drop/15.11/deliveryqueue/queued/,"artifact=ERICmultinodehealthmonitorapp_CXP9031838,deliveryGroup=348,groupId=com.ericsson.oss.presentation.client.nhm,version=1.6.1,format=json",GET,OK,ERICmultinodehealthmonitorapp_CXP9031838,TRUE
ciportal,/api/product/ENM/drop/15.11/deliveryqueue/queued/,"artifact=ERICmultinodehealthmonitorapp_CXP9031838,deliveryGroup=348,format=json,groupId=com.ericsson.oss.presentation.client.nhm,version=1.6.1",GET,OK,com.ericsson.oss.services.shm.model.job,FALSE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=true,format=json",GET,OK,2.20.46,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=true,format=html",GET,OK,2.20.46,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=true,format=broken",GET,OK,2.20.46,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=true",GET,OK,2.20.46,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=false,format=json",GET,OK,2.20.47,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=false,format=html",GET,OK,2.20.47,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=false,format=broken",GET,OK,2.20.47,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=false",GET,OK,2.20.47,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,format=json",GET,OK,2.20.46,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,format=html",GET,OK,2.20.46,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,format=broken",GET,OK,2.20.46,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7",GET,OK,2.20.46,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=broken,format=json",GET,OK,2.20.47,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=broken,format=html",GET,OK,2.20.47,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=broken,format=broken",GET,OK,2.20.47,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=15.7,passedOnly=broken",GET,OK,2.20.47,TRUE
ciportal,/getlatestiso/,"product=ENM,drop=15.1,format=html",GET,OK,3.22.2,TRUE
ciportal,/getlatestiso/,"product=ENM,drop=15.2,format=html",GET,OK,3.23.2,TRUE
ciportal,/getlatestiso/,"product=CI,drop=3.0.5,passedOnly=true",GET,OK,None,TRUE
ciportal,/getlatestiso/,"product=CI,drop=3.0.5,passedOnly=false",GET,OK,None,TRUE
ciportal,/getlatestiso/,"product=CI,drop=3.0.5,format=json",GET,OK,None,TRUE
ciportal,/getlatestiso/,"product=CI,drop=3.0.5,format=html",GET,OK,None,TRUE
ciportal,/getlatestiso/,"product=TOR,drop=3.0.G,passedOnly=true",GET,OK,None,TRUE
ciportal,/getlatestiso/,"product=LITPX,drop=15.7,passedOnly=true",GET,OK,None,TRUE
ciportal,/getlatestiso/,"product=LITP,drop=1.2.3,passedOnly=true",GET,OK,None,TRUE
ciportal,/api/product/None/createPackage/,packageName=ERICabcdefgh_CXP1234789&packageNumber=CXP1234789&signum=eshusot&mediaCategory=sw,POST,OK,Error: Package can be created only for ENM.,TRUE
ciportal,/api/product/ENM/createPackage/,packageNumber=CXP1234789&signum=eshusot&mediaCategory=sw,POST,OK,Error: Package name is required.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERICabcdefgh_CXP1234789&signum=eshusot&mediaCategory=sw,POST,OK,Error: Package number is required.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERICabcdefgh_CXP1234789&packageNumber=CXP1234789&mediaCategory=sw,POST,OK,Error: User signum is required.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERICabcdefgh_CXP1234789&packageNumber=CXP1234789&signum=eshusot,POST,OK,Error: Media category is required.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERICAlarmRoutingServiceabcdefghijklmnopqrst_CXP1234789&packageNumber=CXP1234789&signum=eshusot&mediaCategory=sw,POST,OK,Error: Package name length should not be more than 50 characters.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERICabcdefgh_CXP1234789&packageNumber=CXP1234789&signum=eshusot&mediaCategory=testware,POST,OK,Error: Testware Name is Incorrect.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERICTAF-abcdefgh_CXP1234789&packageNumber=CXP1234789&signum=eshusot&mediaCategory=testware,POST,OK,Error: Testware Name is Incorrect.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERICTAF.abcdefgh_CXP1234789&packageNumber=CXP1234789&signum=eshusot&mediaCategory=testware,POST,OK,Error: Testware Name is Incorrect.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERIC-abcdefgh_CXP1234789&packageNumber=CXP1234789&signum=eshusot&mediaCategory=sw,POST,OK,Error: Package Name is Incorrect.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERIC.abcdefgh_CXP1234789&packageNumber=CXP1234789&signum=eshusot&mediaCategory=sw,POST,OK,Error: Package Name is Incorrect.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERICaiws_CXP9032405&packageNumber=CXP9032405&signum=eshusot&mediaCategory=sw,POST,OK,Error: A package with the given name and number already exists. Please use different name and number.,TRUE
ciportal,/api/product/ENM/createPackage/,packageName=ERICaiwsabccd_CXP9032405&packageNumber=CXP9032405&signum=eshusot&mediaCategory=sw,POST,OK,Error: A package with the number CXP9032405 already exists under a different name.,TRUE
